Leher Feld Transmitter, FM/TV-Mast 	692 ft 	211 m 	1951 	Guyed Mast 	Bremen 	Bremen 	53°06′25″N 8°52′40″E 	demolished on January 31, 1999
Transmitter Göttelborner Höhe 	692 ft 	211 m 	1959 	Guyed Mast 	Saarbrücken 	Saarland 	49°20′26.5″N 7°0′55.7″E 	
Wiederau transmitter, UHF-mast 	692 ft 	211 m 	1969 	Guyed Mast 	Wiederau 	Saxony 	51°11′4.02″N 12°17′7.74″E 	
Chimney of old SASOL-Power Station Moers-Meerbeck 	689 ft 	210 m 		Chimney 	Moers-Meerbeck 	Northrhine-Westphalia 	51°28′16″N 6°38′26″E 	demolished at the beginning of the 1990s by explosives; tallest actual chimney of Moers-Meerbeck SASOL-works is a 95-metre-tall (312 ft) chimney, which was erected in 1971
Chimney Power Station Dortmund-Derne 	689 ft 	210 m 		Chimney 	Dortmund-Derne 	Northrhine-Westphalia 	51°34′12.38″N 7°31′40.98″E 	
Karlsruhe MiRO Oil refinery chimney 	689 ft 	210 m 		Chimney 	Karlsruhe 	Baden-Württemberg 	49°3′33.5″N 8°19′46.91″E 	
Karlsruhe Rhine Harbour Thermal Power Plant, Chimney 2 	689 ft 	210 m 		Chimney 	Karlsruhe 	Baden-Württemberg 	49°0′45.25″N 8°18′7.22″E 	
Chimney of Gustav Knepper Power Station 	689 ft 	210 m 		Chimney 	Dortmund 	Northrhine-Westphalia 	51°34′06.52″N 7°20′56.77″E 	
Goliath transmitter central masts 	689 ft 	210 m 	1943 	Guyed Mast 	Kalbe an der Milbe 	Saxony-Anhalt 	52°39′45″N 11°25′27″E 	3 guyed masts, insulated against ground, dismantled in 1945
Old TV transmission mast Langenberg 	689 ft 	210 m 	1952 	Guyed Mast 	Velbert-Langenberg 	North Rhine-Westphalia 		dismantled in 1998
Transmitter Koenigs Wusterhausen 	689 ft 	210 m 	1925 	Guyed Mast 	Koenigs Wusterhausen 	Brandenburg 	52°18′19.23″N 13°37′2.38″E 	insulated against ground
Deutschlandsender Zeesen 	689 ft 	210 m 	1927 	Guyed Mast 	Zeesen 	Brandenburg 		dismantled
Steel tube radio masts Burg 	689 ft 	210 m 		Guyed Mast 	Burg 	Saxony-Anhalt 	52°17′16.64″N 11°54′24.47″E ; 52°17′17.25″N 11°54′28.56″E 	2 masts, insulated against ground, one mast demolished in 2006
Kettrichhof transmitter 	689 ft 	210 m 		Guyed Mast 	Lemberg (Palatinate) 	Rhineland-Palatinate 	49°8′43.51″N 7°35′13.33″E 	
Biedenkopf transmitter 	689 ft 	210 m 	1987 	Guyed Mast 	Biedenkopf 	Hesse 	50°57′4.14″N 8°31′55.5″E 	
New FM-Broadcasting Mast Ismaning 	689 ft 	210 m 	2010 	Guyed Mast 	Ismaning 	Bavaria 		
